year,rank,song,artist,cleaned_artist,uri,key,duration,bpm,energy,danceability,valence,acousticness,loudness,genres
2024,61,First Person Shooter,Drake featuring J. Cole,"Drake, J. Cole",https://open.spotify.com/track/7aqfrAY2p9BUSiupwk3svU,B Minor,4:07,164,66,48,25,3,-7 dB,canadian hip hop; canadian pop; hip hop; pop rap; rap; conscious hip hop; hip hop; north carolina hip hop; rap
2024,62,Die with a Smile,Lady Gaga and Bruno Mars,"Lady Gaga, Bruno Mars",https://open.spotify.com/track/2plbrEY59IikOBgBGLjaoe,F# Minor,4:12,158,69,52,54,31,-8 dB,art pop; dance pop; pop; dance pop; pop
2024,63,I Like the Way You Kiss Me,Artemas,Artemas,https://open.spotify.com/track/3JG1uFc40wfyrqaWC7iv0e,B Major,2:23,152,95,60,75,0,-4 dB,No genre found
2024,64,Need a Favor,Jelly Roll,Jelly Roll,https://open.spotify.com/track/07on0OB2cdPt79IFsgdRUy,F# Major,3:17,158,77,50,56,1,-4 dB,country rap; modern country pop; nashville hip hop; tennessee hip hop
2024,65,Save Me,Jelly Roll featuring Lainey Wilson,"Jelly Roll, Lainey Wilson",https://open.spotify.com/track/30LZU3ReFIndjHLfaahreM,C Major,3:57,83,61,56,15,38,-5 dB,country rap; modern country pop; nashville hip hop; tennessee hip hop; contemporary country; modern country pop
2024,66,Euphoria,Kendrick Lamar,Kendrick Lamar,https://open.spotify.com/track/77DRzu7ERs0TX3roZcre7Q,C# Major,6:24,140,64,83,14,5,-5 dB,conscious hip hop; hip hop; rap; west coast rap
2024,67,Truck Bed,Hardy,Hardy,https://open.spotify.com/track/6CThut6kPrjot0pTJOTEer,C Major,2:48,132,77,66,77,9,-5 dB,contemporary country; modern country pop
2024,68,Jingle Bell Rock,Bobby Helms,Bobby Helms,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya,D Major,2:11,120,42,75,81,64,-8 dB,No genre found
2024,69,Flowers,Miley Cyrus,Miley Cyrus,https://open.spotify.com/track/7DSAEUvxU8FajXtRloy8M0,C Major,3:21,118,69,71,63,6,-5 dB,pop
2024,70,Where the Wild Things Are,Luke Combs,Luke Combs,https://open.spotify.com/track/0eBFgRxyVSeuT4iyrbukdn,E_ Major,3:59,117,73,71,38,2,-5 dB,contemporary country; country
2024,71,Everybody,Nicki Minaj featuring Lil Uzi Vert,"Nicki Minaj, Lil Uzi Vert",https://open.spotify.com/track/5ZJGv7aGdIr9IGpxzSG18T,B Minor,3:01,138,77,74,43,3,-6 dB,hip pop; pop; queens hip hop; rap; hip hop; melodic rap; philly rap; rage rap; rap; trap
2024,72,La Diabla,Xavi,Xavi,https://open.spotify.com/track/1MGm3zOE0Ql0WWcU5ZvjOx,B Minor,2:52,132,82,75,70,26,-4 dB,sad sierreno
2024,73,Stargazing,Myles Smith,Myles Smith,https://open.spotify.com/track/3Vr3zh0r7ALn8VLqCiRR10,C# Minor,2:53,124,60,64,33,25,-6 dB,singer-songwriter pop
2024,74,Last Christmas,Wham!,Wham!,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78,D Major,4:23,108,48,74,95,19,-12 dB,new romantic; new wave; new wave pop; soft rock
2024,75,I Am Not Okay,Jelly Roll,Jelly Roll,https://open.spotify.com/track/3SaS0Va6o6jYkWvadT86C6,G Major,3:18,77,65,54,36,8,-5 dB,country rap; modern country pop; nashville hip hop; tennessee hip hop
2024,76,Pour Me a Drink,Post Malone featuring Blake Shelton,"Post Malone, Blake Shelton",https://open.spotify.com/track/0mNzElhEofvgMWAJoOA4q9,B Major,3:15,119,91,58,87,0,-4 dB,dfw rap; melodic rap; pop; rap; classic oklahoma country; contemporary country; country; country road
2024,77,White Horse,Chris Stapleton,Chris Stapleton,https://open.spotify.com/track/1DgtQlVNotingln271ZKCx,C# Minor,4:28,145,77,35,22,0,-11 dB,contemporary country; outlaw country
2024,78,Lil Boo Thang,Paul Russell,Paul Russell,https://open.spotify.com/track/0cVyQfDyRnMJ0V3rjjdlU3,C Major,1:54,114,70,85,92,15,-3 dB,indie r&b
2024,79,Good Good,"Usher, Summer Walker and 21 Savage","Usher, Summer Walker, 21 Savage",https://open.spotify.com/track/3jK1QRugwuAKAKOrtac7a2,G Minor,4:07,141,68,74,57,4,-5 dB,atl hip hop; contemporary r&b; dance pop; pop; r&b; rap; south carolina hip hop; urban contemporary; r&b; rap; atl hip hop; hip hop; rap
2024,80,Act II: Date @ 8,4Batz and Drake,"4Batz, Drake",https://open.spotify.com/track/3QS9ZCtoSCJhmaJ7QNXSAS,C Major,3:51,102,55,55,41,32,-9 dB,No genre found; canadian hip hop; canadian pop; hip hop; pop rap; rap
2024,81,High Road,Koe Wetzel featuring Jessie Murph,"Koe Wetzel, Jessie Murph",https://open.spotify.com/track/73KAidtqbDftZjy8AD0H04,F# Major,2:59,138,74,61,62,8,-5 dB,classic texas country; modern country pop; modern country pop; singer-songwriter pop
2024,82,Monaco,Bad Bunny,Bad Bunny,https://open.spotify.com/track/4MjDJD8cW7iVeWInc2Bdyj,E Minor,4:27,139,62,79,13,15,-5 dB,reggaeton; trap latino; urbano latino
2024,83,IDGAF,Drake featuring Yeat,"Drake, Yeat",https://open.spotify.com/track/2YSzYUF3jWqb9YP9VXmpjE,A_ Major,4:20,137,67,67,14,5,-9 dB,canadian hip hop; canadian pop; hip hop; pop rap; rap; pluggnb; rage rap
2024,84,Burn It Down,Parker McCollum,Parker McCollum,https://open.spotify.com/track/09hVlIVHtEE1nLUv6YGZiW,D Major,3:54,162,72,46,33,14,-6 dB,classic texas country; contemporary country; modern country pop; texas country
2024,85,FukUMean,Gunna,Gunna,https://open.spotify.com/track/4rXLjWdF2ZZpXCVTfWcshS,C# Minor,2:05,130,62,85,22,12,-7 dB,atl hip hop; melodic rap; rap; trap
2024,86,Taste,Sabrina Carpenter,Sabrina Carpenter,https://open.spotify.com/track/5G2f63n7IPVPPjfNIGih7Q,E_ Major,2:37,113,91,67,72,10,-4 dB,pop
2024,87,Where It Ends,Bailey Zimmerman,Bailey Zimmerman,https://open.spotify.com/track/0wXThIDxO3YRJCpPgnmbkw,A Major,2:59,170,84,43,65,26,-5 dB,contemporary country; modern country pop
2024,88,FTCU,Nicki Minaj,Nicki Minaj,https://open.spotify.com/track/1a73gcEg6h6Re6hHXoVltJ,B Major,2:52,145,44,93,23,2,-7 dB,hip pop; pop; queens hip hop; rap
2024,89,Wildflower,Billie Eilish,Billie Eilish,https://open.spotify.com/track/3QaPy1KgI7nu9FJEQUgn6h,F# Minor,4:21,148,25,47,13,61,-12 dB,art pop; pop
2024,90,World on Fire,Nate Smith,Nate Smith,https://open.spotify.com/track/5ya0TmUQw2wHMkq36rPsnd,B Minor,3:10,96,89,46,41,0,-5 dB,contemporary country; modern country pop
2024,91,On My Mama,Victoria Monét,Victoria Monét,https://open.spotify.com/track/7DswEZZthZ6piQpL25qGAM,E Minor,3:04,77,55,68,61,56,-8 dB,alternative r&b; r&b
2024,92,"Yes, And?",Ariana Grande,Ariana Grande,https://open.spotify.com/track/5D34wRmbFS29AjtTOP2QJe,C# Major,3:35,119,78,79,79,19,-7 dB,pop
2024,93,Exes,Tate McRae,Tate McRae,https://open.spotify.com/track/4E63weMCaNZuGPEFMnuEi8,F Minor,2:39,137,57,82,61,17,-7 dB,pop
2024,94,A Holly Jolly Christmas,Burl Ives,Burl Ives,https://open.spotify.com/track/77khP2fIVhSW23NwxrRluh,C Major,2:16,140,38,68,89,58,-13 dB,adult standards; american folk revival
2024,95,Wind Up Missin' You,Tucker Wetmore,Tucker Wetmore,https://open.spotify.com/track/3EO58D1YpHnTvBy68gK8HE,F# Major,2:47,172,72,57,66,51,-6 dB,modern country pop
2024,96,Bulletproof,Nate Smith,Nate Smith,https://open.spotify.com/track/6rVuwfysYo1Bp4Hoc4YuE0,G Major,3:04,80,73,44,52,4,-5 dB,contemporary country; modern country pop
2024,97,Fe!n,Travis Scott featuring Playboi Carti,"Travis Scott, Playboi Carti",https://open.spotify.com/track/42VsgItocQwOQC3XWZ8JNA,E_ Minor,3:12,148,88,57,20,3,-3 dB,rap; slap house; atl hip hop; plugg; pluggnb; rage rap; rap
2024,98,The Painter,Cody Johnson,Cody Johnson,https://open.spotify.com/track/5DQU4Fmdx7Hs7pwtcZMSTK,D Major,3:31,98,71,51,26,4,-6 dB,classic texas country; contemporary country; modern country pop
2024,99,Down Bad,Taylor Swift,Taylor Swift,https://open.spotify.com/track/1kbEbBdEgQdQeLXCJh28pJ,B Major,4:21,160,37,54,17,56,-10 dB ,pop
2024,100,Dance the Night,Dua Lipa,Dua Lipa,https://open.spotify.com/track/1vYXt7VSjH9JIM5oRRo7vA,B Minor,2:57,110,85,67,78,2,-5 dB,dance pop; pop; uk pop
2023,1,Last Night,Morgan Wallen,Morgan Wallen,https://open.spotify.com/track/59uQI0PADDKeE6UZDTJEe8,F# Major,2:44,204,67,49,49,41,-5 dB,contemporary country
2023,2,Flowers,Miley Cyrus,Miley Cyrus,https://open.spotify.com/track/7DSAEUvxU8FajXtRloy8M0,C Major,3:21,118,69,71,63,6,-5 dB,pop
2023,3,Kill Bill,SZA,SZA,https://open.spotify.com/track/3OHfY25tqY28d16oZczHc8,A♭ Major,2:34,89,73,64,43,5,-6 dB,pop; r&b; rap
2023,4,Anti-Hero,Taylor Swift,Taylor Swift,https://open.spotify.com/track/0V3wPSX9ygBnCm8psDIegu,E Major,3:21,97,65,63,49,12,-7 dB,pop
2023,5,Creepin',"Metro Boomin, the Weeknd and 21 Savage","Metro Boomin, the Weeknd, 21 Savage",https://open.spotify.com/track/2dHHgzDwk4BJdRwy9uXhTO,C# Minor,3:42,98,61,72,16,39,-6 dB,rap; canadian contemporary r&b; canadian pop; pop; atl hip hop; hip hop; rap
2023,6,Calm Down,Rema and Selena Gomez,"Rema, Selena Gomez",https://open.spotify.com/track/0WtM2NBVQNNJLh6scP13H8,B Major,3:59,107,81,80,80,38,-5 dB,afrobeats; nigerian pop; pop; post-teen pop
2023,7,Die for You,The Weeknd and Ariana Grande,"The Weeknd, Ariana Grande",https://open.spotify.com/track/4W4fNrZYkobj539TOWsLO2,C# Minor,3:53,67,49,57,52,28,-8 dB,canadian contemporary r&b; canadian pop; pop; pop
2023,8,Fast Car,Luke Combs,Luke Combs,https://open.spotify.com/track/1Lo0QY9cvc8sUB2vnIOxDT,A♭ Major,4:25,98,60,71,67,19,-6 dB,contemporary country; country
2023,9,Snooze,SZA,SZA,https://open.spotify.com/track/4iZ4pt7kvcaH6Yo8UoZ4s2,F Major,3:22,143,55,56,39,14,-7 dB,pop; r&b; rap
2023,10,I'm Good (Blue),David Guetta and Bebe Rexha,"David Guetta, Bebe Rexha",https://open.spotify.com/track/4uUG5RXrOk84mYEfFvj3cK,G Minor,2:55,128,97,56,30,0,-4 dB,big room; dance pop; edm; pop; pop dance; dance pop; pop
2023,11,Unholy,Sam Smith and Kim Petras,"Sam Smith, Kim Petras",https://open.spotify.com/track/3nqQXoyQOWXiESFLlDF1hG,D Major,2:37,131,45,72,22,1,-7 dB,pop; uk pop; alt z; dance pop; pop; transpop
2023,12,You Proof,Morgan Wallen,Morgan Wallen,https://open.spotify.com/track/5W4kiM2cUYBJXKRudNyxjW,A Major,2:37,120,82,73,68,32,-5 dB,contemporary country
2023,13,Something in the Orange,Zach Bryan,Zach Bryan,https://open.spotify.com/track/3WMj8moIAXJhHsyLaqIIHI,E Minor,3:48,175,19,37,15,56,-12 dB,classic oklahoma country
2023,14,Rich Flex,Drake and 21 Savage,"Drake, 21 Savage",https://open.spotify.com/track/1bDbXMyjaUIooNwFE9wn0N,E Minor,3:59,160,52,55,42,5,-9 dB,canadian hip hop; canadian pop; hip hop; pop rap; rap; atl hip hop; hip hop; rap
2023,15,As It Was,Harry Styles,Harry Styles,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e,F# Minor,2:47,174,73,52,66,34,-5 dB,pop
2023,16,Rock and a Hard Place,Bailey Zimmerman,Bailey Zimmerman,https://open.spotify.com/track/1TE8AAk9koG0UJco6ZAUfx,C# Major,3:28,122,57,58,39,58,-7 dB,contemporary country; modern country pop
2023,17,Under the Influence,Chris Brown,Chris Brown,https://open.spotify.com/track/5IgjP7X4th6nMNDh4akUHb,A Minor,3:05,117,56,76,37,2,-9 dB,r&b; rap
2023,18,Cruel Summer,Taylor Swift,Taylor Swift,https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr,A Major,2:58,170,70,55,56,12,-6 dB,pop
2023,19,Thinkin' Bout Me,Morgan Wallen,Morgan Wallen,https://open.spotify.com/track/0PAcdVzhPO4gq1Iym9ESnK,E_ Minor,2:57,140,79,66,47,49,-6 dB,contemporary country
2023,20,Boy's a Liar Pt. 2,PinkPantheress and Ice Spice,"PinkPantheress, Ice Spice",https://open.spotify.com/track/6AQbmUe0Qwf5PZnt4HmTXv,F Major,2:11,133,81,70,86,25,-8 dB,bedroom pop; bronx drill
2023,21,Favorite Song,Toosii,Toosii,https://open.spotify.com/track/1SRw5p2lVAi7RGlHEmZg66,D Major,3:29,116,38,81,43,28,-9 dB,north carolina hip hop
2023,22,Thought You Should Know,Morgan Wallen,Morgan Wallen,https://open.spotify.com/track/3Qu3Zh4WTKhP9GEXo0aDnb,F# Major,3:36,140,70,54,55,48,-6 dB,contemporary country
2023,23,Thank God,Kane Brown and Katelyn Brown,"Kane Brown, Katelyn Brown",https://open.spotify.com/track/1brnLTvarI9D1hLP6z2Ar8,E♭ Major,2:55,100,46,74,44,70,-9 dB,black americana; contemporary country; country; country road; No genre found
2023,24,Sure Thing,Miguel,Miguel,https://open.spotify.com/track/0JXXNGljqupsJaZsgSbMZV,B Minor,3:15,81,61,68,50,3,-8 dB,r&b; urban contemporary
2023,25,All My Life,Lil Durk featuring J. Cole,"Lil Durk, J. Cole",https://open.spotify.com/track/6HgWWaMu31KdOpEG5l28BG,E♭ Major,3:44,143,57,79,73,4,-6 dB,chicago drill; chicago rap; drill; hip hop; pop rap; rap; trap; conscious hip hop; hip hop; north carolina hip hop; rap
2023,26,Ella Baila Sola,Eslabon Armado and Peso Pluma,"Eslabon Armado, Peso Pluma",https://open.spotify.com/track/3dnP0JxCgygwQH9Gm7q7nb,F Minor,2:46,148,76,67,83,48,-5 dB,corrido; corridos tumbados; sad sierreno; sierreno; corridos tumbados; sad sierreno
2023,27,Karma,Taylor Swift featuring Ice Spice,"Taylor Swift, Ice Spice",https://open.spotify.com/track/4i6cwNY6oIUU2XZxPIw82Y,A♭ Major,3:21,90,63,62,7,6,-7 dB,pop; bronx drill
2023,28,Just Wanna Rock,Lil Uzi Vert,Lil Uzi Vert,https://open.spotify.com/track/4FyesJzVpA39hbYvcseO2d,B Major,2:04,150,55,49,4,7,-8 dB,hip hop; melodic rap; philly rap; rage rap; rap; trap
2023,29,Cuff It,Beyoncé,Beyoncé,https://open.spotify.com/track/1xzi1Jcr7mEi9K2RfzLOqS,G Major,3:45,115,69,78,64,4,-6 dB,pop; r&b
